event,event_date,auction_house,lot_number,manufacturer,model,year_of_car,low_estimate_usd,high_estimate_usd,sold_price_usd,sold,notes
RM Woodcote Park,2026-07-08,RM Sotheby's,105,Fiat,500 D Trasformabile,1964,,,19717,true,"Sold for £15,525 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,106,Lagonda,3-Litre Tourer,1930,,,73025,true,"Sold for £57,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,107,Jaguar,E-Type Series 1 3.8-Litre Fixed Head Coupé,1962,,,102235,true,"Sold for £80,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,108,BMW,M3 Sport Evolution,1990,,,513556,true,"Sold for £404,375 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,109,Ferrari,550 Barchetta Pininfarina,2002,,,556319,true,"Sold for £438,125 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,110,Maserati,A6G/54 2000 GT Coupé by Allemano,1956,,,413544,true,"Sold for £325,625 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,111,Ferrari,365 GT4 BB by Scaglietti,1974,,,334963,true,"Sold for £263,750 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,112,Sunbeam,Tiger Mk I,1965,,,56960,true,"Sold for £44,850 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,113,Porsche,911 Carrera RS,1992,,,,true,Marked Sold but no price published
RM Woodcote Park,2026-07-08,RM Sotheby's,114,Aston Martin,DB5,1965,,,1006475,true,"Sold for £792,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,115,Lancia,Stratos HF Stradale by Bertone,1975,,,,false,"Listed as 'Asking' £525,000 GBP (buy now)"
RM Woodcote Park,2026-07-08,RM Sotheby's,116,MG,K3 Magnette Two-Seater 'Pointed Tail' Works,1934,,,649288,true,"Sold for £511,250 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,117,Ford,GT,2005,,,506413,true,"Sold for £398,750 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,118,Aston Martin,DB6 Vantage Volante,1969,,,549275,true,"Sold for £432,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,119,Ferrari,360 N-GT,2001,,,,false,"Listed as 'Asking' £375,000 GBP (buy now)"
RM Woodcote Park,2026-07-08,RM Sotheby's,120,McLaren,765LT Coupé,2021,,,520700,true,"Sold for £410,000 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,121,Ferrari,Dino 246 GTS by Scaglietti,1973,,,492125,true,"Sold for £387,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,122,Alfa Romeo,6C 2500 Super Sport Cabriolet by Pinin Farina,1949,,,262890,true,"Sold for £207,000 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,123,Frazer Nash,TT Replica,1935,,,233680,true,"Sold for £184,000 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,124,Porsche,924 Carrera GTR IMSA,1981,,,,false,"c. 1981; listed as 'Asking' £175,000 GBP (buy now)"
RM Woodcote Park,2026-07-08,RM Sotheby's,125,Ferrari,Superamerica,2006,,,313531,true,"Sold for £246,875 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,126,Aston Martin,DB4 GT Continuation,2018,,,606425,true,"Sold for £477,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,127,Porsche,911 GT3 RS 4.0,2011,,,827881,true,"Sold for £651,875 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,128,Bentley,4/8-Litre Supercharged Two-Seater Sports,1932,,,,false,"Listed as 'Asking' £450,000 GBP (buy now)"
RM Woodcote Park,2026-07-08,RM Sotheby's,129,Porsche,911 Carrera RS N/GT,1992,,,262890,true,"Sold for £207,000 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,130,Bentley,Mark VI 4¼-Litre Sedanca Coupé by Gurney Nutting,1948,,,40164,true,"Sold for £31,625 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,131,Aston Martin,DB5 Shooting Brake by Radford,1966,,,1077913,true,"Sold for £848,750 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,132,Mercedes-Benz,300 SL Roadster,1961,,,,false,"Listed as 'Asking' £995,000 GBP (buy now)"
RM Woodcote Park,2026-07-08,RM Sotheby's,133,Frazer Nash,'High Speed' Le Mans Replica,1948,,,377825,true,"Sold for £297,500 GBP"
RM Woodcote Park,2026-07-08,RM Sotheby's,134,Ferrari,Dino 246 GT by Scaglietti,1971,,,,false,"Listed as 'Asking' £265,000 GBP (buy now)"
RM Woodcote Park,2026-07-08,RM Sotheby's,135,BRM,P25 'Reconstruction',1959,,,,true,Marked Sold but no price published
