manufacturer,model,month,trends_interest,trends_source,measured_at
Abarth,Abarth 750 & 850,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Abarth,Abarth 750 & 850,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2025-08,2.2193,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2025-09,1.2329,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2025-10,1.2329,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2025-11,1.2329,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2025-12,1.2329,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-01,1.2329,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-02,1.2329,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-03,1.9727,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-04,3.0823,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-05,3.2056,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-06,3.0823,google_trends,2026-08-29T19:23:31Z
Ac,AC Ace & Aceca,2026-07,2.4658,google_trends,2026-08-29T19:23:31Z
Acura,CL,2025-08,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2025-09,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2025-10,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2025-11,0.9863,google_trends,2026-08-29T19:23:31Z
Acura,CL,2025-12,0.9247,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-01,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-02,2.4658,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-03,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-04,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-05,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-06,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,CL,2026-07,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2025-08,11.3399,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2025-09,10.169,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2025-10,10.4771,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2025-11,10.1073,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2025-12,9.8608,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-01,10.169,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-02,13.8668,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-03,13.0656,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-04,14.4831,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-05,13.5586,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-06,12.326,google_trends,2026-08-29T19:23:31Z
Acura,Integra,2026-07,11.7097,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2025-08,0.9861,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2025-09,0.6163,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2025-10,0.9245,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2025-11,0.493,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2025-12,0.6163,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-01,0.3082,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-02,0.9245,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-03,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-04,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-05,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-06,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Integra Type R,2026-07,0.6163,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2025-08,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2025-09,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2025-10,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2025-11,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2025-12,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-01,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-02,1.8489,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-03,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-04,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-05,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-06,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,Legend,2026-07,1.2326,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA1,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NA2,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Acura,NSX NC1,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Acura,RL,2025-08,1.7261,google_trends,2026-08-29T19:23:31Z
Acura,RL,2025-09,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,RL,2025-10,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,RL,2025-11,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,RL,2025-12,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-01,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-02,3.6988,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-03,1.4795,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-04,2.4658,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-05,2.4658,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-06,1.8494,google_trends,2026-08-29T19:23:31Z
Acura,RL,2026-07,1.2329,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2025-08,4.4385,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2025-09,3.6988,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2025-10,3.6988,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2025-11,3.6988,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2025-12,2.4658,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2026-01,3.3905,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2026-02,5.2399,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2026-03,3.9453,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2026-04,5.2399,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2026-05,4.4385,google_trends,2026-08-29T19:23:31Z
Acura,RSX,2026-06,4.007,google_trends,2026-08-29T19:23:31Z
