manufacturer,model,measured_at,status,note
Abarth,Abarth 750 & 850,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Ac,AC Ace & Aceca,2026-08-29T20:08:23Z,ok,anchor 81.1
Acura,CL,2026-08-29T19:54:49Z,ok,anchor 81.1
Acura,Integra,2026-08-29T19:34:30Z,ok,anchor 81.1
Acura,Integra Type R,2026-08-29T19:36:24Z,ok,anchor 81.1
Acura,Legend,2026-08-29T19:42:48Z,ok,anchor 81.1
Acura,NSX NA1,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Acura,NSX NA2,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Acura,NSX NC1,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Acura,RL,2026-08-29T19:57:02Z,ok,anchor 81.1
Acura,RSX,2026-08-29T19:57:02Z,ok,anchor 81.1
Acura,TL,2026-08-29T19:51:43Z,ok,anchor 81.1
Acura,TSX,2026-08-29T19:57:02Z,ok,anchor 81.1
Acura,VIGOR,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Airstream,Airstream Conversion,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Airstream,Airstream Motorhome,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Airstream,Airstream Trailer,2026-08-29T19:53:09Z,ok,anchor 81.1
Alfa Romeo,105 Series Sedan,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,106-Series 2600,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,155,2026-08-29T20:08:23Z,ok,anchor 81.1
Alfa Romeo,164,2026-08-29T19:59:57Z,ok,anchor 81.1
Alfa Romeo,4C,2026-08-29T19:37:37Z,ok,anchor 81.1
Alfa Romeo,8C,2026-08-29T20:03:24Z,ok,anchor 81.1
Alfa Romeo,952 Series Giulia,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,Alfetta,2026-08-29T20:03:24Z,ok,anchor 81.1
Alfa Romeo,BRERA,2026-08-29T20:08:23Z,ok,anchor 81.1
Alfa Romeo,GTV & Spider (Type 916),2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,GTV6,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,Montreal,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,Sprint Speciale,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Alfa Romeo,Stelvio,2026-08-29T19:59:57Z,ok,anchor 81.1
Am General,AM General Truck,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Amc,AMC & Rambler Ambassador,2026-08-29T20:03:30Z,ok,anchor 16.7
Amc,AMC & Rambler Marlin,2026-08-29T20:08:30Z,ok,anchor 16.7
Amc,AMC AMX,2026-08-29T19:53:09Z,ok,anchor 81.1
Amc,AMC Eagle,2026-08-29T19:49:48Z,ok,anchor 81.1
Amc,AMC Javelin,2026-08-29T19:53:16Z,ok,anchor 81.1
Amc,AMC Pacer,2026-08-29T20:03:37Z,ok,anchor 81.1
Amphicar,Amphicar 770,2026-08-29T19:54:49Z,ok,anchor 81.1
Aprilia,Aprilia RS & RSV,2026-08-29T20:03:37Z,ok,anchor 81.1
Ariel,Ariel Atom,2026-08-29T19:38:17Z,ok,anchor 81.1
Ariel,Ariel Motorcycles,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Ariel,Ariel Nomad,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Aston Martin,DB11,2026-08-29T19:40:55Z,ok,anchor 81.1
Aston Martin,DB5,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Aston Martin,DB7,2026-08-29T19:34:04Z,ok,anchor 81.1
Aston Martin,DB9,2026-08-29T19:28:51Z,ok,anchor 81.2
Aston Martin,DBS,2026-08-29T19:44:41Z,ok,anchor 81.1
Aston Martin,DBX,2026-08-29T19:51:43Z,ok,anchor 81.1
Aston Martin,Lagonda,2026-08-29T20:08:37Z,ok,anchor 81.1
Aston Martin,Rapide,2026-08-29T19:40:55Z,ok,anchor 81.1
Aston Martin,V12 Vantage,2026-08-29T19:39:03Z,ok,anchor 81.1
Aston Martin,V8,2026-08-29T19:57:09Z,ok,anchor 81.1
Aston Martin,V8 Vantage,2026-08-29T19:38:17Z,ok,anchor 81.1
Aston Martin,V8 Vantage (2006+),2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Aston Martin,V8 Vantage (2019+),2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Aston Martin,Vanquish,2026-08-29T19:35:17Z,ok,anchor 81.1
Aston Martin,Vanquish S,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Aston Martin,Virage (2012),2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Auburn,Auburn Replica,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Audi,A3,2026-08-29T20:00:03Z,ok,anchor 72.4
Audi,A5,2026-08-29T19:38:17Z,ok,anchor 81.1
Audi,A7,2026-08-29T19:57:09Z,ok,anchor 81.1
Audi,A8,2026-08-29T19:31:04Z,ok,anchor 81.1
Audi,B5 RS4,2026-08-29T19:51:49Z,ok,anchor 81.1
Audi,B5 S4,2026-08-29T19:48:22Z,ok,anchor 81.1
Audi,B6 A4,2026-08-29T20:00:03Z,ok,anchor 72.4
Audi,B6 S4,2026-08-29T21:49:39Z,zero,tier=0 rounded to zero
Audi,B7 A4,2026-08-29T19:39:36Z,ok,anchor 81.1
