manufacturer,model,month,wiki_slug,wiki_pageviews,wiki_sov,social_score
Abarth,Abarth 750 & 850,2024-07,Abarth,18303,1.0,74.63
Abarth,Abarth 750 & 850,2024-08,Abarth,18354,1.0,74.71
Abarth,Abarth 750 & 850,2024-09,Abarth,16926,1.0,72.82
Abarth,Abarth 750 & 850,2024-10,Abarth,17558,1.0,73.54
Abarth,Abarth 750 & 850,2024-11,Abarth,16848,1.0,72.63
Abarth,Abarth 750 & 850,2024-12,Abarth,18270,1.0,74.57
Abarth,Abarth 750 & 850,2025-01,Abarth,16358,1.0,71.9
Abarth,Abarth 750 & 850,2025-02,Abarth,14370,1.0,68.81
Abarth,Abarth 750 & 850,2025-03,Abarth,19949,1.0,76.7
Abarth,Abarth 750 & 850,2025-04,Abarth,18377,1.0,74.73
Abarth,Abarth 750 & 850,2025-05,Abarth,17455,1.0,73.46
Abarth,Abarth 750 & 850,2025-06,Abarth,15993,1.0,71.44
Abarth,Abarth 750 & 850,2025-07,Abarth,15949,1.0,71.35
Abarth,Abarth 750 & 850,2025-08,Abarth,15776,1.0,71.09
Abarth,Abarth 750 & 850,2025-09,Abarth,14765,1.0,69.39
Abarth,Abarth 750 & 850,2025-10,Abarth,14009,1.0,68.29
Abarth,Abarth 750 & 850,2025-11,Abarth,13582,1.0,67.65
Abarth,Abarth 750 & 850,2025-12,Abarth,15653,1.0,70.84
Abarth,Abarth 750 & 850,2026-01,Abarth,17725,1.0,73.81
Abarth,Abarth 750 & 850,2026-02,Abarth,12653,1.0,66.37
Abarth,Abarth 750 & 850,2026-03,Abarth,12775,1.0,66.56
Abarth,Abarth 750 & 850,2026-04,Abarth,13122,1.0,67.05
Abarth,Abarth 750 & 850,2026-05,Abarth,14285,1.0,68.67
Abarth,Abarth 750 & 850,2026-06,Abarth,12613,1.0,66.3
Ac,AC Ace & Aceca,2024-07,AC_Ace,3572,1.0,48.56
Ac,AC Ace & Aceca,2024-08,AC_Ace,3633,1.0,48.71
Ac,AC Ace & Aceca,2024-09,AC_Ace,3642,1.0,48.72
Ac,AC Ace & Aceca,2024-10,AC_Ace,3889,1.0,49.37
Ac,AC Ace & Aceca,2024-11,AC_Ace,3491,1.0,48.36
Ac,AC Ace & Aceca,2024-12,AC_Ace,3152,1.0,47.6
Ac,AC Ace & Aceca,2025-01,AC_Ace,3562,1.0,48.52
Ac,AC Ace & Aceca,2025-02,AC_Ace,2931,1.0,47.04
Ac,AC Ace & Aceca,2025-03,AC_Ace,3243,1.0,47.79
Ac,AC Ace & Aceca,2025-04,AC_Ace,3682,1.0,48.85
Ac,AC Ace & Aceca,2025-05,AC_Ace,3223,1.0,47.74
Ac,AC Ace & Aceca,2025-06,AC_Ace,3499,1.0,48.38
Ac,AC Ace & Aceca,2025-07,AC_Ace,3817,1.0,49.18
Ac,AC Ace & Aceca,2025-08,AC_Ace,4796,1.0,51.59
Ac,AC Ace & Aceca,2025-09,AC_Ace,3516,1.0,48.41
Ac,AC Ace & Aceca,2025-10,AC_Ace,3180,1.0,47.65
Ac,AC Ace & Aceca,2025-11,AC_Ace,2986,1.0,47.19
Ac,AC Ace & Aceca,2025-12,AC_Ace,2992,1.0,47.2
Ac,AC Ace & Aceca,2026-01,AC_Ace,3798,1.0,49.14
Ac,AC Ace & Aceca,2026-02,AC_Ace,2721,1.0,46.55
Ac,AC Ace & Aceca,2026-03,AC_Ace,2877,1.0,46.93
Ac,AC Ace & Aceca,2026-04,AC_Ace,2695,1.0,46.5
Ac,AC Ace & Aceca,2026-05,AC_Ace,3246,1.0,47.8
Ac,AC Ace & Aceca,2026-06,AC_Ace,3295,1.0,47.91
Acura,CL,2024-07,Acura_CL,3237,0.018923,28.31
Acura,CL,2024-08,Acura_CL,3344,0.019366,28.78
Acura,CL,2024-09,Acura_CL,3488,0.021349,29.89
Acura,CL,2024-10,Acura_CL,3408,0.019455,28.96
Acura,CL,2024-11,Acura_CL,3115,0.018626,27.91
Acura,CL,2024-12,Acura_CL,3324,0.019313,28.71
Acura,CL,2025-01,Acura_CL,3464,0.019754,29.2
Acura,CL,2025-02,Acura_CL,3442,0.021429,29.83
Acura,CL,2025-03,Acura_CL,3835,0.017013,28.84
Acura,CL,2025-04,Acura_CL,3945,0.02,30.48
Acura,CL,2025-05,Acura_CL,3993,0.01893,30.16
Acura,CL,2025-06,Acura_CL,3853,0.01931,30.01
Acura,CL,2025-07,Acura_CL,3515,0.019445,29.19
Acura,CL,2025-08,Acura_CL,3825,0.018574,29.56
Acura,CL,2025-09,Acura_CL,3360,0.018241,28.3
Acura,CL,2025-10,Acura_CL,3416,0.018484,28.52
Acura,CL,2025-11,Acura_CL,3261,0.018658,28.25
Acura,CL,2025-12,Acura_CL,3030,0.0188,27.76
Acura,CL,2026-01,Acura_CL,3417,0.02002,29.21
Acura,CL,2026-02,Acura_CL,3034,0.019071,27.91
Acura,CL,2026-03,Acura_CL,3344,0.020449,29.17
Acura,CL,2026-04,Acura_CL,3291,0.02004,28.92
Acura,CL,2026-05,Acura_CL,3487,0.018745,28.78
Acura,CL,2026-06,Acura_CL,3206,0.022089,29.55
