manufacturer,model,slug,status
Abarth,Abarth 750 & 850,Abarth,resolved
Ac,AC Ace & Aceca,AC_Ace,resolved
Acura,CL,Acura_CL,resolved
Acura,Integra,Honda_Integra,resolved
Acura,Integra Type R,Honda_Integra,resolved
Acura,Legend,Acura_Legend,resolved
Acura,MDX,Acura_MDX,resolved
Acura,NSX NA1,Honda_NSX_(first_generation),resolved
Acura,NSX NA2,Honda_NSX_(first_generation),resolved
Acura,NSX NC1,Honda_NSX_(second_generation),resolved
Acura,RL,Acura_RL,resolved
Acura,RSX,Acura_RSX,resolved
Acura,TL,Acura_TL,resolved
Acura,TSX,Acura_TSX,resolved
Acura,VIGOR,Honda_Vigor,resolved
Airstream,Airstream Conversion,,unresolved
Airstream,Airstream Motorhome,Airstream,resolved
Airstream,Airstream Trailer,Airstream,resolved
Ajs,AJS 18CS SCRAMBLER,AJS_18,resolved
Ajs,AJS BARN FIND NO RESERVE MODEL B 350CC,,unresolved
Alfa Romeo,105 Series Sedan,Alfa_Romeo_105/115_Series_Coupés,resolved
Alfa Romeo,105/115 Series Coupe,Alfa_Romeo_105/115_Series_Coupés,resolved
Alfa Romeo,105/115 Spider Series 1,Alfa_Romeo_105/115_Series_Coupés,resolved
Alfa Romeo,105/115 Spider Series 2,Alfa_Romeo_105/115_Series_Coupés,resolved
Alfa Romeo,105/115 Spider Series 3,Alfa_Romeo_105/115_Series_Coupés,resolved
Alfa Romeo,105/115 Spider Series 4,Alfa_Romeo_105/115_Series_Coupés,resolved
Alfa Romeo,106-Series 2600,Alfa_Romeo_2600,resolved
Alfa Romeo,155,Alfa_Romeo_155,resolved
Alfa Romeo,164,Alfa_Romeo_164,resolved
Alfa Romeo,1900,Alfa_Romeo_1900,resolved
Alfa Romeo,4C,Alfa_Romeo_4C,resolved
Alfa Romeo,75/Milano,Alfa_Romeo_75,resolved
Alfa Romeo,750/101 Series Giulietta & Giulia,Alfa_Romeo_Giulietta_(2010),resolved
Alfa Romeo,8C,Alfa_Romeo_8C,resolved
Alfa Romeo,952 Series Giulia,Alfa_Romeo_Giulia_(2015),resolved
Alfa Romeo,ALFA ROMEO,Museo_Alfa_Romeo,resolved
Alfa Romeo,AR 51,Alfa_Romeo_Matta,resolved
Alfa Romeo,Alfetta,Alfa_Romeo_Alfetta,resolved
Alfa Romeo,BRERA,Alfa_Romeo_Brera_and_Spider,resolved
Alfa Romeo,GRAN SPORT QUATTRORUOTE,Alfa_Romeo_Gran_Sport_Quattroruote,resolved
Alfa Romeo,GTV & Spider (Type 916),Alfa_Romeo_GTV_and_Spider,resolved
Alfa Romeo,GTV6,Alfa_Romeo_Alfetta,resolved
Alfa Romeo,Montreal,Alfa_Romeo_Montreal,resolved
Alfa Romeo,SZ/RZ,Alfa_Romeo_SZ,resolved
Alfa Romeo,Sprint Speciale,Alfa_Romeo_Giulietta_Sprint_Speciale,resolved
Alfa Romeo,Stelvio,Alfa_Romeo_Stelvio,resolved
Alfa Romeo,TZ3 STRADALE ZAGATO,Alfa_Romeo_33_Stradale_(2023),resolved
Allard,ALLARD P1,Allard_Motor_Company,resolved
Allard,Allard J2 & J2X,Allard_J2,resolved
Allard,"Allard K1, K2, & K3",Allard_Motor_Company,resolved
Allis-Chalmers,ALLIS CHALMERS WD45,Allis-Chalmers,resolved
Alpine,RENAULT ALPINE V6 TURBO,Renault_Alpine_A442,resolved
Alvis,ALVIS TE,Alvis_Car_and_Engineering_Company,resolved
Am General,AM General Jeep,AM_General,resolved
Am General,AM General Truck,AM_General,resolved
Amc,AMC & Rambler Ambassador,AMC_Ambassador,resolved
Amc,AMC & Rambler Marlin,Rambler_American,resolved
Amc,AMC AMX,AMC_Javelin,resolved
Amc,AMC Eagle,AMC_Global_Media,resolved
Amc,AMC Gremlin,AMC_Gremlin,resolved
Amc,AMC Hornet,AMC_Javelin,resolved
Amc,AMC Javelin,AMC_Pacer,resolved
Amc,AMC MATADOR,AMC_Spirit,resolved
Amc,AMC Pacer,AMC_Javelin,resolved
