manufacturer,model,month,yt_videos,yt_views,yt_likes,yt_comments,yt_engagement_rate,measured_at
Mercedes-Benz,R107 SL,2025-08,7,215232,5816,254,0.028202,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2025-09,8,307314,929,152,0.003518,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2025-10,10,1707109,44908,2757,0.027921,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2025-11,3,78214,2272,109,0.030442,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2025-12,2,5206,83,11,0.018056,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-01,3,240445,2559,286,0.011832,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-02,1,6397,155,58,0.033297,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-03,1,21174,76,4,0.003778,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-04,5,257132,5398,222,0.021856,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-05,4,119537,2532,83,0.021876,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-06,1,19331,312,19,0.017123,2026-08-29T20:08:52Z
Mercedes-Benz,R107 SL,2026-07,3,65462,1242,77,0.020149,2026-08-29T20:08:52Z
