manufacturer,model,measured_at,status,note
Audi,Q7,2026-08-29T20:26:41Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Audi+Q7%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4gLW
BMW,E30 3-Series Coupe,2026-08-29T20:25:27Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+E30+3-Series+Coupe%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&
BMW,E36 M3,2026-08-29T20:19:31Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+E36+M3%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4
BMW,E39 5-Series,2026-08-29T20:26:16Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+E39+5-Series%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AI
BMW,E46 M3,2026-08-29T20:12:34Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+E46+M3%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4
BMW,E90/E92/E93 M3,2026-08-29T20:17:04Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+E90%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4gLW
BMW,E92/E93 3-Series Coupe & Convertible,2026-08-29T20:24:38Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+E92%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4gLW
BMW,X5,2026-08-29T20:14:49Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22BMW+X5%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4gLWh
Cadillac,Cadillac DeVille,2026-08-29T20:25:39Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Cadillac+DeVille%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AI
Cadillac,Cadillac Eldorado,2026-08-29T20:17:40Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Cadillac+Eldorado%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=A
